date,Open,High,Low,Final,Volume,Close
2012-01-02,8879,8879,8879,9236,1500,8879
2012-01-03,8867,8867,8867,8867,45000,8867
2012-01-09,8513,8577,8513,8815,6936,8513
2012-01-10,8501,8501,8463,8784,4213,8500
2012-01-11,8433,8480,8433,8714,9983,8470
2012-01-15,8780,8998,8780,8750,7471,8959
2012-01-16,8998,8998,8950,8810,10912,8980
2012-01-17,8850,8890,8680,8811,1627,8680
2012-01-21,8731,8731,8730,8809,1259,8730
2012-01-23,8701,8701,8701,8808,218,8701
2012-01-25,8701,8701,8456,8799,1312,8456
2012-01-28,8500,8500,8450,8779,2894,8450
2012-01-29,8428,8448,8428,8614,21101,8428
2012-01-30,8300,8430,8300,8488,21050,8300
2012-02-01,8350,8350,8320,8385,27791,8320
2012-02-04,8161,8161,8160,8360,5000,8160
2012-02-05,8160,8160,8026,8131,32349,8026
2012-02-06,8360,8360,8360,8131,45,8360
2012-04-29,7706,8000,7706,7883,21994,7706
2012-04-30,7652,8198,7652,7908,45876,8198
2012-05-01,7973,8100,7973,8059,51506,8000
2012-05-02,8150,8150,8007,8063,14404,8100
2012-05-05,7742,7742,7741,8033,4150,7741
2012-05-06,7730,7740,7712,8016,2551,7740
2012-05-07,7711,7711,7696,7906,15731,7697
2012-05-08,7770,7770,7770,7902,1200,7770
2012-05-09,7749,7749,7749,7901,420,7749
2012-05-12,7660,7770,7660,7887,3442,7769
2012-05-13,7770,7770,7585,7858,4633,7585
2012-05-14,7544,7544,7544,7606,36014,7544
2012-05-15,7303,7303,7302,7479,18685,7302
2012-05-16,7289,7289,7180,7286,30720,7180
2012-05-19,6997,6997,6997,7280,957,6997
2012-05-20,6993,6993,6989,7187,14377,6989
2012-05-21,6900,6989,6900,6949,45000,6989
2012-05-22,6989,6989,6989,6956,7748,6989
2012-05-23,6990,6993,6990,6961,6469,6993
2012-05-26,7239,7239,7220,7027,10867,7237
2012-05-28,7237,7308,7220,7122,17484,7308
2012-05-29,7261,7400,7252,7159,7710,7400
2012-05-30,7300,7445,7201,7167,3423,7201
2012-06-02,7220,7220,7102,7163,4495,7102
2012-06-06,7001,7005,7000,7125,10741,7000
2012-06-09,7000,7000,6840,7030,20338,6840
2012-06-10,6750,6750,6749,7025,854,6749
2012-06-12,6750,6753,6750,6989,5862,6750
2012-06-19,6710,6716,6710,6944,7373,6716
2012-06-20,6668,6668,6668,6913,5000,6668
2012-06-23,6637,6637,6637,6888,4089,6637
2012-06-25,6613,6613,6613,6884,700,6613
2012-06-26,6609,6609,6609,6853,5000,6609
2012-06-27,6637,6637,6637,6848,1000,6637
2012-07-01,6575,6575,6575,6838,1646,6575
2012-07-02,6800,6800,6566,6836,517,6566
2012-07-03,6563,6563,6563,6826,1635,6563
2012-07-09,6553,6553,6553,6818,1300,6553
2012-07-14,6550,6553,6550,6798,3360,6553
2012-07-16,6555,6555,6555,6796,344,6555
2012-07-17,6527,6527,6527,6794,356,6527
2012-07-22,6794,6794,6794,6794,6000,6794
2012-07-25,6550,6550,6550,6793,149,6550
2012-08-07,6522,6522,6522,6793,1,6522
2012-08-12,6522,6522,6522,6759,5640,6522
2012-08-13,6550,6550,6489,6663,17404,6489
2012-08-14,6500,6500,6500,6662,200,6500
2012-08-15,6406,6406,6406,6661,206,6406
2012-08-22,6395,6666,6395,6655,1755,6666
2012-08-26,6660,6660,6660,6655,1000,6660
2012-09-03,6499,6499,6499,6655,1,6499
2012-09-04,6500,6500,6390,6622,6115,6390
2012-09-05,6440,6500,6362,6602,4604,6500
2012-09-10,6410,6410,6338,6584,3100,6338
2012-09-11,6321,6321,6321,6575,1460,6321
2012-09-22,6330,6330,6330,6480,17384,6330
2012-09-24,6302,6302,6221,6334,29762,6221
2012-09-25,6220,6220,6220,6331,1074,6220
2012-09-26,6100,6584,6100,6272,63670,6583
2012-09-29,6522,6522,6522,6522,56358,6522
2012-09-30,6700,6782,6700,6649,22580,6782
2012-10-01,6914,6914,6800,6712,12184,6914
2012-10-02,6980,6980,6900,6978,94810,6980
2012-10-16,7000,7000,6699,6972,8541,6699
2012-10-17,6700,6700,6700,6965,1106,6700
2012-10-20,6699,6699,6687,6916,7992,6690
2012-10-22,6640,6640,6640,6791,20335,6640
2012-10-23,6520,6520,6520,6620,28244,6520
2012-10-24,6356,6357,6356,6592,4679,6356
2012-10-29,6329,6329,6329,6586,1100,6329
2012-10-31,6331,6331,6323,6552,6000,6323
2012-11-04,6300,6300,6300,6550,335,6300
2012-11-05,6290,6290,6290,6524,4400,6290
2012-11-06,6300,6300,6300,6518,1168,6300
2012-11-12,6259,6260,6259,6489,5062,6259
2012-11-13,6230,6230,6230,6472,3000,6230
2012-11-14,6214,6214,6214,6437,6000,6214
2012-11-17,6180,6180,6180,6432,953,6180
2012-11-18,6175,6175,6175,6421,2000,6175
2012-11-20,6200,6214,6200,6401,4113,6214
2012-11-26,6200,6200,6145,6363,7538,6145
2012-11-28,6250,6250,6250,6354,3593,6250
2012-12-01,6121,6121,6100,6110,46984,6100
2012-12-02,5866,5900,5866,6059,10000,5900
2012-12-03,6301,6301,6301,6059,8,6301
2012-12-05,5868,5875,5868,6046,3210,5871
2012-12-08,5871,5871,5871,6045,304,5871
2012-12-09,5870,6280,5866,6003,14103,6280
2012-12-12,5870,5870,5866,5979,8000,5866
2012-12-15,6210,6210,6210,5986,1280,6210
2012-12-16,6000,6000,6000,5986,1000,6000
2012-12-17,6000,6100,6000,5988,2050,6100
2012-12-18,6001,6200,6001,6021,16200,6200
2012-12-19,6006,6006,6006,6020,2000,6006
2012-12-22,6150,6260,6150,6038,4500,6260
2012-12-23,6279,6279,6279,6279,85048,6279
2012-12-25,6300,6530,6300,6310,6400,6487
2012-12-26,6562,6562,6550,6399,16101,6560
2012-12-29,6653,6653,6653,6405,1001,6653
2012-12-30,6650,6661,6649,6540,23757,6661
2012-12-31,6800,6801,6800,6801,46783,6801
2013-01-01,7070,7073,6960,7070,46734,7073
2013-01-02,7352,7352,7300,7156,14160,7352
2013-01-06,7360,7390,7360,7191,7064,7389
2013-01-07,7399,7399,7101,7194,3258,7110
2013-01-08,6912,6912,6907,7142,8111,6907
2013-01-09,6861,6861,6857,7138,577,6857
2013-01-13,6900,6900,6853,7127,2021,6853
2013-01-14,6842,6842,6842,7116,1727,6842
2013-01-15,6832,6832,6832,7114,366,6832
2013-01-16,6830,6830,6830,7113,200,6830
2013-01-19,6846,7350,6846,6959,81155,7350
2013-01-20,7237,7237,7000,7025,16925,7006
2013-01-21,7306,7306,7200,7048,4550,7200
2013-01-26,7048,7250,7048,7066,9574,7198
2013-01-27,7180,7180,6784,7027,6489,6910
2013-01-28,6800,6850,6800,7013,3278,6850
2013-01-30,6801,6801,6750,6996,3434,6755
2013-02-02,6850,6850,6717,6818,29000,6717
2013-02-03,6550,6550,6546,6762,9395,6550
2013-02-04,6900,7028,6900,6772,2190,7000
2013-02-20,2347,2347,2346,2286,43571,2347
2013-02-23,2377,2377,2377,2293,10090,2377
2013-02-25,2384,2384,2384,2311,26184,2384
2013-02-27,2403,2403,2403,2311,1,2403
2013-03-02,2403,2403,2403,2311,10,2403
2013-03-03,2403,2403,2403,2313,3642,2403
2013-03-04,2405,2405,2405,2313,1,2405
2013-03-05,2405,2405,2405,2351,55739,2405
2013-03-11,2445,2445,2445,2351,10,2445
2013-03-13,2445,2445,2445,2352,1233,2445
2013-03-16,2446,2446,2446,2376,34749,2446
2013-03-18,2471,2471,2471,2383,10477,2471
2013-03-26,2478,2478,2478,2385,2182,2478
2013-03-27,2480,2480,2480,2387,3350,2480
2013-03-30,2482,2482,2482,2390,3786,2482
2013-04-06,2485,2485,2485,2391,1050,2485
2013-04-07,2486,2486,2486,2393,2477,2486
2013-04-09,2488,2488,2488,2403,14792,2488
